year,attendee,affiliation,role,session,title
2013,Nada Abumrad,"Washington University, St. Louis, MO",speaker,6,"Fatty acid uptake, lipid remodeling and cardiac adaptation"
2013,Valerie O'Donnell,"Cardiff University, UK",speaker,6,"Oxidized phospholipids enzymatically generated by human innate immune cells"
2013,Steve Farber,"Carnegie Institute, Baltimore, MD",session,7,"Transcriptional Control Of Lipids"
2013,Amy Walker,"University of Massachusetts, Worcester, MA",speaker,7,"Lipolysis as an important mediator of hepatic energy metabolism"
2013,Douglas Mashek,"University of Minnesota, St. Paul, MN",speaker,7,"Lipolysis as an important mediator of hepatic energy metabolism"
2013,Peter Espenshade,"Johns Hopkins University, Baltimore, MD",speaker,7,"Transcriptional Regulation of Sterol Homeostasis in Fungi"
2013,Vikas Chandra,"Sanford-Burnham Medical Research Institute, Orlando, FL",speaker,7,"Structural-functional studies of nuclear receptors as drug targets"
2013,Miriam Greenberg,"Wayne State University, Detroit, MI",session,8,"Spotlight On Phosphatidate"
2013,Brian Finck,"Washington University, St. Louis, MO",speaker,8,"Lipin 1 modulates cAMP-mediated signaling by regulating cellular phosphatidic acid concentrations"
2013,George Carman,"Rutgers University, New Brunswick, NJ",speaker,8,"Regulation of phosphatidate phosphatase and Its impact on lipid metabolism"
2013,Gregory Fairn,"St. Michael's Hospital, University of Toronto, Canada",speaker,8,"Phosphatidic Acid produced by diacylglycerol kinases is required for constitutive ruffling, macropinocytosis and its synthesis attenuates superoxide production in phagocytes"
2013,Hongyuan Rob Yang,"University of New South Wales, Sidney, Australia",speaker,8,"Seipin, phosphatidic acid and 'supersized' lipid droplets"
2013,Shirin Bahmanyar,"Ludwig Institute for Cancer Research, University of California-San Diego, CA",speaker,8,"Spatial regulation of phospholipid flux by the lipin activation pathway controls mitotic reorganization of the nuclear envelope"
2013,Susan Henry,"Cornell University, Ithaca, NY",speaker,8,"Regulatory mechanisms controlling channeling of phosphatidic acid into phospholipids vs. triacylglycerol during active growth in yeast"
2013,Carol Sztalryd,"University of Maryland, Baltimore MD",session,9,"Genetic Regulation Of Lipids"
2013,Daniel Raben,"Johns Hopkins University, Baltimore, MD",speaker,9,"DGKθ and endocytosis"
2013,Eyleen O'Rourke,"Harvard Medical School, Boston, MA",speaker,9,"MXL-3 and HLH-30 transcriptionally link lipolysis and autophagy to nutrient availability"
2013,Kasey Vickers,"NHLBI, NIH",speaker,9,"Lipid-based carriers of extracellular microRNAs in intercellular communication"
2013,Kathryn J. Moore,"NYU Medical Center, NYC, NY",speaker,9,"MicroRNA regulation of lipid metabolism"
